編號,中文地址,英文地址,地區,檢疫結束日期
35,聯友新樓,LUEN YAU APARTMENTS,中西區,2020-02-28
36,士美菲路43號美菲閣1座,"BLOCK 1, SMITHFIELD COURT, NO.43 SMITHFIELD",中西區,2020-02-29
37,干諾道西155號高樂花園,"CONNAUGHT GARDEN, NO.155 CONNAUGHT ROAD WEST",中西區,2020-02-29
38,天和樓,TEEN WO BUILDING,中西區,2020-02-29
39,太生大廈,TAI SANG BUILDING,中西區,2020-02-29
40,加惠民道29號加惠臺2座,"BLOCK 2, CAYMAN RISE, NO.29 KA WAI MAN ROAD",中西區,2020-02-29
41,北街4-8號五福大廈A座,"BLOCK A, NEW FORTUNE HOUSE, NO.4-8 NORTH STREET",中西區,2020-02-29
42,安景閣,FAIRVIEW COURT,中西區,2020-02-29
43,百好大廈,PAK HOO MANSION,中西區,2020-02-29
44,怡豐閣,YEE FUNG COURT,中西區,2020-02-29
45,星鑽,THE NOVA,中西區,2020-02-29
46,皇后大道西297號,NO.297 QUEEN'S ROAD WEST,中西區,2020-02-29
47,美新大廈,MAY SUN BUILDING,中西區,2020-02-29
48,海光大廈,"BLOCK YOOFHILL, HAI KWANG MANSION",中西區,2020-02-29
49,般咸道17號,NO.17 BONHAM ROAD,中西區,2020-02-29
50,堅尼地城卑路乍街13號珍珠閣B座,"BLK B, PEARL COURT, NO.13 BELCHER'S STREET, KENNEDY TOWN",中西區,2020-02-29
51,第二街121號,NO.121 SECOND STREET,中西區,2020-02-29
52,荷李活道174號,NO.174 HOLLYWOOD ROAD,中西區,2020-02-29
53,順泰大廈,SHUN TAI BUILDING,中西區,2020-02-29
54,新安大廈,SUN ON MANSION,中西區,2020-02-29
55,新城大樓,SUN SHING BUILDING,中西區,2020-02-29
56,新豐樓,SUN FUNG MANSION,中西區,2020-02-29
57,瑧蓺,ARTISAN HOUSE,中西區,2020-02-29
58,德輔道西273號均益大廈第三期A座,"BLOCK A, PHASE III, KWAN YICK BUILDING, NO.273 DES VOEUXROAD WEST",中西區,2020-02-29
59,德輔道西430號均益大廈第一期,"PHASE I, KWAN YICK BUILDING, NO.430 DES VOEUX ROAD WEST",中西區,2020-02-29
60,德輔道西442號美新樓A座,"BLOCK A, MEI SUN LAU, NO.442 DES VOEUX ROAD WEST",中西區,2020-02-29
61,德輔道西46-50號,NO.46-50 DES VOEUX RPAD WEST,中西區,2020-02-29
62,樂怡軒,LOUIS HEIGHTS,中西區,2020-02-29
63,餘慶大廈,YU HING MANSION,中西區,2020-02-29
64,豐盛大廈,FUNG SING MANSION,中西區,2020-02-29
65,豐逸大廈,FUNG YAT BUILDING,中西區,2020-02-29
66,九如坊12號,NO.12 KAU U FONG,中西區,2020-03-01
67,大德樓,TAI TAK MANSION,中西區,2020-03-01
68,山道閣,HILL ROAD COURT,中西區,2020-03-01
69,永興樓,WING HING HOUSE,中西區,2020-03-01
70,伊利近街49號,NO.49 ELGIN STREET,中西區,2020-03-01
71,安樂大樓前座,"BLOCK FRONT, ON LOK MANSION",中西區,2020-03-01
72,卑路乍街13號珍珠閣B座,"BLOCK B, PEARL COURT, NO.13 BELCHER'S STREET",中西區,2020-03-01
73,南生大廈,NAN SANG BUILDING,中西區,2020-03-01
74,恒陞大樓,HANG SING MANSION,中西區,2020-03-01
75,皇后大道西311-325號,311-324 QUEEN'S ROAD WEST,中西區,2020-03-01
76,美輪樓,MERLIN BUILDING,中西區,2020-03-01
77,泰發大廈,TAI FAT BUILDING,中西區,2020-03-01
78,真光大廈,TRUE LIGHT BUILDING,中西區,2020-03-01
79,高街21號,NO.21 HIGH STREET,中西區,2020-03-01
80,第一街716號,NO.716 FIRST STREET,中西區,2020-03-01
81,華里3號,NO.3 WA LANE,中西區,2020-03-01
82,僑發大廈,KIU FAT BUIDING,中西區,2020-03-01
83,榮基大廈,WING GA BUILDING,中西區,2020-03-01
84,德輔道西394-400號華明中心C座,"BLOCK C, WAH MING CENTRE, NO.394-400 DES VOEUX ROAD WEST",中西區,2020-03-01
85,德輔道西406D號,NO.406D DES VOEUX ROAD WEST,中西區,2020-03-01
86,寶翠園2座,"BLOCK 2, THE BELCHER'S",中西區,2020-03-01
87,士美菲路71號嘉輝花園D座,"BLOCK D, SMITHFIELD TERRACE, NO.71 SMITHFIELD",中西區,2020-03-02
88,山道89號,NO.89 HILL ROAD,中西區,2020-03-02
89,兆安大廈,SIU ON BUILDING,中西區,2020-03-02
90,西祥街2號寶翠閣A座,"BLOCK A, BELCHER COURT, NO.2 SAI CHEUNG STREET",中西區,2020-03-02
91,西環新樓,SAI WAN NEW APARTMENTS,中西區,2020-03-02
92,良基大廈,LIANG GA BUILDING,中西區,2020-03-02
93,卑路乍街68號,NO.68 BELCHER'S STREET,中西區,2020-03-02
94,居仁閣,KUI YAN COURT,中西區,2020-03-02
95,明德山,KING'S HILL,中西區,2020-03-02
96,保基大廈,PO GA BUILDING,中西區,2020-03-02
97,皇后大道中244號,NO.244 QUEEN'S ROAD CENTRAL,中西區,2020-03-02
98,盈基花園寶龍閣(第一座)1座,"BLOCK 1, PO LUNG COURT (TOWER 1), YING GA GARDEN",中西區,2020-03-02
99,香港大學職工宿舍B座,"BLOCK B, JUNIOR STAFF QUARTERS, THE UNIVERSITY OF HONG",中西區,2020-03-02
100,高雅閣,KO NGA COURT,中西區,2020-03-02
101,荷李活大樓,HOLLYWOOD BUILDING,中西區,2020-03-02
102,荷李活道165號,NO.165 HOLLYWOOD ROAD,中西區,2020-03-02
103,華寶大廈,WAH PO BUILDING,中西區,2020-03-02
104,奧卑利街17A號,17A OLD BAILEY STREET,中西區,2020-03-02
105,萬林閣,MANIFOLD COURT,中西區,2020-03-02
106,德輔道西114號,NO.114 DES VOEUX ROAD WEST,中西區,2020-03-02
107,德輔道西273號均益大廈第三期,"PHASE III, KWAN YICK BUILDING, NO.273 DES VOEUX ROAD WEST",中西區,2020-03-02
108,德輔道西406C號,NO.406C DES VOEUX ROAD WEST,中西區,2020-03-02
109,德輔道西408D號,NO.408D DES VOEUX ROAD WEST,中西區,2020-03-02
110,龍華街20號觀龍樓C座,"BLOCK C, KWUN LUNG LAU, NO.20 LUNG WAH STREET",中西區,2020-03-02
111,懋華大廈,MAU WAH MANSION,中西區,2020-03-02
112,聯基新樓,LUEN GAY APARTMENTS,中西區,2020-03-02
113,舊山頂道23號帝景園1座,"BLOCK 1, DYNASTY COURT, NO.23 OLD PEAK ROAD",中西區,2020-03-02
114,舊山頂道23號帝景園3座,"BLOCK 3, DYNASTY COURT, NO.23 OLD PEAK ROAD",中西區,2020-03-02
115,豐景閣,FUNG KING COURT,中西區,2020-03-02
116,醫院道8號,8 HOSPITAL ROAD,中西區,2020-03-02
117,譽皇居,AIGBURTH,中西區,2020-03-02
118,士美菲路73號嘉輝花園C座,"BLOCK C, SMITHFIELD TERRACE, NO.73 SMITHFIELD",中西區,2020-03-03
119,水坑口街26號,NO.26 POSSESSION STREET,中西區,2020-03-03
120,石塘咀和合街1-3號金陵閣,"KAM LING COURT, NO.1-3 WOO HOP STREET, SHEK TONG TSUI",中西區,2020-03-03
121,地利根德里14號地利根德閣3座,"BLOCK 3, TREGUNTER, NO.14 TREGUNTER PATH",中西區,2020-03-03
122,西源里22號,NO.22 SAI YUEN LANE,中西區,2020-03-03
123,佳景閣,JADEVIEW COURT,中西區,2020-03-03
124,卑路乍街11號海都樓A座,"BLOCK A, HOI TAO BUILDING, NO.11 BELCHER'S STREET",中西區,2020-03-03
125,卑路乍街7號海都樓C座,"BLOCK C, HOI TAO BUILDING, NO.7 BELCHER'S STREET",中西區,2020-03-03
126,卑路乍街9號海都樓B座,"BLOCK B, HOI TAO BUILDING, NO.9 BELCHER'S STREET",中西區,2020-03-03
127,昌寧大廈,CHEUNG LING MANSION,中西區,2020-03-03
128,東利大樓A座,"BLOCK A, TUNG LEE MANSION",中西區,2020-03-03
129,東邊街1-3號,NO.1-3 EASTERN STREET,中西區,2020-03-03
130,香港大學聚賢堂,"GRADUATE HOUSE, THE UNIVERSITY OF HONG KONG",中西區,2020-03-03
131,偉安樓,WAI ON HOUSE,中西區,2020-03-03
132,得利大廈,TAK LEE BUILDING,中西區,2020-03-03
133,第三街163號廣豐臺2座,"BLOCK 2, KWONG FUNG TERRACE, NO.163 THIRD STREET",中西區,2020-03-03
134,普慶大廈,PO HING MANSION,中西區,2020-03-03
135,萬和閣,HARMONY COURT,中西區,2020-03-03
136,裕豐花園,RICHSUN GARDEN,中西區,2020-03-03
137,翠華閣,JADE COURT,中西區,2020-03-03
138,豪景臺,RICH VIEW TERRACE,中西區,2020-03-03
139,德輔道西363號,NO.363 DES VOEUX ROAD WEST,中西區,2020-03-03
140,聯康新樓,LUEN HONG APARTMENTS,中西區,2020-03-03
141,巴丙頓山,BABINGTON HILL,中西區,2020-03-04
142,些利閣,SHELLEY COURT,中西區,2020-03-04
143,和合街1-3號金陵閣,"KAM LING COURT, NO.1-3 WOO HOP STREET",中西區,2020-03-04
144,昌裕大廈,CHEONG YUE MANSION,中西區,2020-03-04
145,冠南樓,KOON NAM HSE,中西區,2020-03-04
146,冠華大廈,KOON WAH BUILDING,中西區,2020-03-04
147,建益大樓,KIN YICK MANSION,中西區,2020-03-04
148,恆裕大廈,HANG YUE BUILDING,中西區,2020-03-04
149,皇后大道西409號怡景花園1座,"BLOCK 1, ELEGANT GARDEN, NO.409 QUEEN'S ROAD WEST",中西區,2020-03-04
150,皇后大道西455號龍暉花園1座,"BLOCK 1, DRAGONFAIR GARDEN, NO.455 QUEEN'S ROAD WEST",中西區,2020-03-04
151,美蘭閣,MIDLAND COURT,中西區,2020-03-04
152,香港大學學生宿舍三村C座,香港大學學生宿舍三村C座,中西區,2020-03-04
153,堅彌地城新海旁38號泓都2座,"BLOCK 2, THE MERTON, NO.38 NEW PRAYA KENNEDY TOWN",中西區,2020-03-04
154,得富大廈,YICK FUNG BUILDING,中西區,2020-03-04
155,荷李活道108號聚賢居1座,"BLOCK 1, CENTRESTAGE, NO.108 HOLLYWOOD ROAD",中西區,2020-03-04
156,興華樓,HING WAH HOUSE,中西區,2020-03-04
157,龍輝樓,LUNG FAI MANSION,中西區,2020-03-04
158,寶雲山莊,FAIRLANE TOWER,中西區,2020-03-04
159,士美菲路77號嘉輝花園A座,"BLOCK A, SMITHFIELD TERRACE, NO.77 SMITHFIELD",中西區,2020-03-05
160,干德道22號慧豪閣2座,"BLOCK 2, VANTAGE PARK, NO.22 CONDUIT ROAD",中西區,2020-03-05
161,仁愛苑,YEN OI GARDEN,中西區,2020-03-05
162,合隆大廈,HA LUNG BUILDING,中西區,2020-03-05
163,俊威閣,CHARMVIEW COURT,中西區,2020-03-05
164,俊賢閣,INTELLIGENT COURT,中西區,2020-03-05
165,恒輝大廈,HANG FAI BUILDING,中西區,2020-03-05
166,香港大學柏立基學院逸東樓,"YAT TUNG HOUSE, SIR ROBERT BLACK COLLEGE, THE UNIVERSITYOF HONG KONG",中西區,2020-03-05
167,香港大學聖約翰學院王植庭堂,"WONG CHIK TING HALL, ST. JOHN'S COLLEGE UNIVERSITY OF HONGKONG",中西區,2020-03-05
168,家安大廈,GRACE MANSION,中西區,2020-03-05
169,高陞大廈,KOOSING BUILDING,中西區,2020-03-05
170,偉景閣,VIKING COURT,中西區,2020-03-05
171,第二街128號海昇大廈2座,"BLOCK 2, HOI SING BUILDING, NO.128 SECOND STREET",中西區,2020-03-05
172,華利樓,WAH LEE BUILDING,中西區,2020-03-05
173,嘉輝花園A座,"BLOCK A, SMITHFIELD TERRACE",中西區,2020-03-05
174,歌賦山里,GOUGH HILL PATH,中西區,2020-03-05
175,歌賦山道,GOUGH HILL ROAD,中西區,2020-03-05
176,碧林閣,POKFULAM COURT,中西區,2020-03-05
177,德輔道西406A號,NO.406A DES VOEUX ROAD WEST,中西區,2020-03-05
178,摩羅上街28號,NO.28 UPPER LASCAR ROW,中西區,2020-03-05
179,曉暉大廈,SUNGLOW BUILDING,中西區,2020-03-05
180,龍豐閣,LUN FUNG COURT,中西區,2020-03-05
181,寶泰大廈,PO THAI BUILDING,中西區,2020-03-05
182,觀龍樓1座,"BLOCK 1, KWUN LUNG LAU",中西區,2020-03-05
183,LEXINGTON HILL,LEXINGTON HILL,中西區,2020-03-06
184,正德大廈,CHING TAK BUILDING,中西區,2020-03-06
185,永華大廈,WING WAH MANSION,中西區,2020-03-06
186,和合街1-3號金陵閣A座,"BLOCK A, KAM LING COURT, NO.1-3 WOO HOP STREET",中西區,2020-03-06
187,屈地大廈,WHITTY STREET COURT,中西區,2020-03-06
188,屈地街11-21號創業中心B座,"BLOCK B, CHONG YIP CENTRE, NO.11-21 WHITTY STREET",中西區,2020-03-06
189,皇后大道西367號,NO. 367 QUEEN'S ROAD WEST,中西區,2020-03-06
190,皇后大道西367號,NO.367 QUEEN'S ROAD WEST,中西區,2020-03-06
191,皇后大道西421號華明中心A座,"BLOCK A, WAH MING CENTRE, NO.421 QUEEN'S ROAD WEST",中西區,2020-03-06
192,香港大學柏立基學院,"SIR ROBERT BLACK COLLEGE, THE UNIVERSITY OF HONG KONG",中西區,2020-03-06
193,夏蕙苑,SAVOY COURT,中西區,2020-03-06
194,雅蘭閣,ORLINS COURT,中西區,2020-03-06
195,新安大樓,SUN ON BUILDING,中西區,2020-03-06
196,毓明閣1座,"BLOCK 1, YUK MING TOWERS",中西區,2020-03-06
197,德輔道中406號前座,"BLOCK FRONT, NO.406 DES VOEUX ROAD CENTRAL",中西區,2020-03-06
198,德輔道西228號,NO.228 DES VOEUX ROAD WEST,中西區,2020-03-06
199,德輔道西343號均益大廈第二期B座,"BLOCK B, PHASE II, KWAN YICK BUILDING, NO.343 DES VOEUX ROADWEST",中西區,2020-03-06
200,薄扶林道89號寶翠園8座,"BLOCK 8, THE BELCHER'S, NO.89 POK FU LAM ROAD",中西區,2020-03-06
201,IMPERIAL KENNEDY,IMPERIAL KENNEDY,中西區,2020-03-07
202,大新閣,SUN COURT,中西區,2020-03-07
203,干諾道西155號高樂花園3座,"BLOCK 3, CONNAUGHT GARDEN, NO.155 CONNAUGHT ROAD WEST",中西區,2020-03-07
204,文景大廈,MAN KING BUILDING,中西區,2020-03-07
205,永利街11號,NO.11 WING LEE STREET,中西區,2020-03-07
206,兆宜大廈,SIU YEE BUILDING,中西區,2020-03-07
207,如意樓,YU YEE BUILDING,中西區,2020-03-07
208,利豐大廈,LEE FUNG BUILDING,中西區,2020-03-07
209,卑路乍街13號珍珠閣A座,"BLOCK A, PEARL COURT, NO.13 BELCHER'S STREET",中西區,2020-03-07
210,卑路乍街5號南雄大廈B座,"BLOCK B, NAMHUNG MANSION, NO.5 BELCHER'S STREET",中西區,2020-03-07
211,東利大樓B座,"BLOCK B, TUNG LEE MANSION",中西區,2020-03-07
212,金庭居,GOLDEN PAVILION,中西區,2020-03-07
213,金陵大廈,KAM LING COURT,中西區,2020-03-07
214,青蓮閣,CHING LIN COURT,中西區,2020-03-07
215,保德街1-7號,NO.1-7 PO TUCK STREET,中西區,2020-03-07
216,皇后街1號帝后華庭3座,"BLOCK 3, QUEEN'S TERRACE, NO.1 QUEEN STREET",中西區,2020-03-07
217,海都樓C座,海都樓C座,中西區,2020-03-07
218,高陞大廈,KO SHING BUILDING,中西區,2020-03-07
219,堅彌地城海旁20號益豐花園B座,"BLOCK B, YICK FUNG GARDEN, NO.20 PRAYA KENNEDY TOWN",中西區,2020-03-07
220,梅苑1座,MAY TOWER I,中西區,2020-03-07
221,荷李活道52號,NO.52 HOLLYWOOD ROAD,中西區,2020-03-07
222,惠苑,WAI YUEN MANSION,中西區,2020-03-07
223,華冠大廈,WAH KOON BUILDING,中西區,2020-03-07
224,新街市街8號康威花園B座,"BLOCK B, HONGWAY GARDEN, NO.8 NEW MARKET STREET",中西區,2020-03-07
225,滙豪閣,WINSOME PARK,中西區,2020-03-07
226,嘉利大廈,GARLEY BUILDING,中西區,2020-03-07
227,榮華里10號榮華大廈B座,"BLOCK B, WINNER BUILDING, NO.10 WING WAH LANE",中西區,2020-03-07
228,德輔道西343號均益大廈第二期,"PHASE II, KWAN YICK BUILDING, NO.343 DES VOEUX ROAD WEST",中西區,2020-03-07
229,德輔道西408號,NO.408 DES VOEUX ROAD WEST,中西區,2020-03-07
230,樂欣大廈,RYAN MANSION,中西區,2020-03-07
231,澤安閣,CHESTER COURT,中西區,2020-03-07
232,錦明閣,KING MING MANSION,中西區,2020-03-07
233,龍華街20號觀龍樓E座,"BLOCK E, KWUN LUNG LAU, NO.20 LUNG WAH STREET",中西區,2020-03-07
234,薄扶林道101號學士臺2座,"BLOCK 2, ACADEMIC TERRACE, NO.101 POK FU LAM ROAD",中西區,2020-03-07
235,薄扶林道89號寶翠園5座,"BLOCK 5, THE BELCHER'S, NO.89 POK FU LAM ROAD",中西區,2020-03-07
236,THE MAYFAIR,THE MAYFAIR,中西區,2020-03-08
237,干諾道西155號高樂花園2座,"BLOCK 2, CONNAUGHT GARDEN, NO.155 CONNAUGHT ROAD WEST",中西區,2020-03-08
238,天興大廈,TIN HING MANSION,中西區,2020-03-08
239,四邑大廈,SZE YAP BUILDING,中西區,2020-03-08
240,永多樓,WING TO BUILDING,中西區,2020-03-08
241,生昌大廈,SANG CHEONG BUILDING,中西區,2020-03-08
242,再發大廈,JOY FAT HOUSE,中西區,2020-03-08
243,安泰街7號康威花園,"HONGWAY GARDEN, NO.7 ON TAI STREET",中西區,2020-03-08
244,西浦,SOHO 189,中西區,2020-03-08
245,西祥街2號寶翠閣B座,"BLOCK B, BELCHER COURT, NO.2 SAI CHEUNG STREET",中西區,2020-03-08
246,均益大廈第一期,"PHASE I, KWAN YICK BUILDING",中西區,2020-03-08
247,明發大廈,MING FAT BUILDING,中西區,2020-03-08
248,東南大廈,TONG NAM MANSION,中西區,2020-03-08
249,金坤大廈,KAM KWAN BUILDING,中西區,2020-03-08
250,南里8號,NO.8 SOUTH LANE,中西區,2020-03-08
251,厚福大樓,HAU FOOK BUILDING,中西區,2020-03-08
252,皇后大道西242-244號,NO.242-244 QUEEN'S ROAD WEST,中西區,2020-03-08
253,皇后大道西409號怡景花園2座,"BLOCK 2, ELEGANT GARDEN, NO.409 QUEEN'S ROAD WEST",中西區,2020-03-08
254,皇后大道西421號華明中心B座,"BLOCK B, WAH MING CENTRE, NO.421 QUEEN'S ROAD WEST",中西區,2020-03-08
255,皇后大道西423-425號創業中心C座,"BLOCK C, CHONG YIP CENTRE, NO.423-425 QUEEN'S ROAD WEST",中西區,2020-03-08
256,皇后街1號帝后華庭2座,"BLOCK 2, QUEEN'S TERRACE, NO.1 QUEEN STREET",中西區,2020-03-08
257,海光大廈,HAI KWANG MANSION,中西區,2020-03-08
258,海景大廈,SEA VIEW MANSION,中西區,2020-03-08
259,高街17號,NO.17 HIGH STREET,中西區,2020-03-08
260,普頓臺,PRINCETON TOWER,中西區,2020-03-08
261,景賜大廈,KING'S BUILDING,中西區,2020-03-08
262,新街市街8號康威花園A座,"BLOCK A, HONGWAY GARDEN, NO.8 NEW MARKET STREET",中西區,2020-03-08
263,業昌大廈,YIP CHEUNG BUILDING,中西區,2020-03-08
264,豪華大廈C座,"BLOCK C, HOOVER MANSION",中西區,2020-03-08
265,德輔道西402-404號創業中心A座,"BLOCK A, CHONG YIP CENTRE, NO.402-404 DES VOEUX ROAD WEST",中西區,2020-03-08
266,德輔道西432號均益大廈第一期,"PHASE I, KWAN YICK BUILDING, NO.432 DES VOEUX ROAD WEST",中西區,2020-03-08
267,璈珀,璈珀,中西區,2020-03-08
268,輝煌豪園,PALATIAL CREST,中西區,2020-03-08
269,適安大廈,SIK ON HOUSE,中西區,2020-03-08
270,賴恩樓,LAI YAN LAU,中西區,2020-03-08
271,薄扶林道101號學士臺1座,"BLOCK 1, ACADEMIC TERRACE, NO.101 POK FU LAM ROAD",中西區,2020-03-08
272,瀚然,AREZZO,中西區,2020-03-08
273,山村道44號,NO.44 VILLAGE ROAD,灣仔,2020-02-27
274,百德新街47號百德大廈,"PATERSON BUILDING, NO.47 PATERSON STREET",灣仔,2020-02-27
275,京士頓大廈,KINGSTON BUILDING,灣仔,2020-02-27
276,軒尼詩道310-312號,NO.310-312 HENNESSY ROAD,灣仔,2020-02-27
277,壹環,ONE WANCHAI,灣仔,2020-02-27
278,雅慧苑,AVERY HSE,灣仔,2020-02-27
279,豪軒大廈,ELEGANCE TOWER,灣仔,2020-02-27
280,摩理臣山道23號,NO.23 MORRISON HILL ROAD,灣仔,2020-02-27
281,曉廬,HIGHCLIFF,灣仔,2020-02-27
282,灣仔道188號廣生行大廈D座,"BLOCK D, KWONG SANG HONG BUILDING, NO.188 WAN CHAI ROAD",灣仔,2020-02-27
283,灣仔道3號尚翹峰1座,"BLOCK 1, THE ZENITH, NO.3 WAN CHAI ROAD",灣仔,2020-02-27
284,向南樓,SOUTHWARD MANSION,灣仔,2020-02-28
285,京士頓道2號京士頓大廈,"KINGSTON BUILDING, NO. 2 KINGSTON STREET",灣仔,2020-02-28
286,屈臣道15號維多利中心1座,"BLOCK 1, VICTORIA CENTRE, NO.15 WATSON ROAD",灣仔,2020-02-28
287,威景臺,VIKING VILLAS,灣仔,2020-02-28
288,琉璃街4號,NO.4 LAU LI STREET,灣仔,2020-02-28
289,勝華樓,SHING WAH MANSION,灣仔,2020-02-28
290,渣甸坊56號,NO.56 JARDINE'S CRESCENT,灣仔,2020-02-28
291,登龍閣,DRAGON RISE,灣仔,2020-02-28
292,詩禮大樓,SZE LAI BUILDING,灣仔,2020-02-28
293,僑興大廈,KIU HING MANSION,灣仔,2020-02-28
294,豪軒,ELEGANCE TOWER,灣仔,2020-02-28
295,銅鑼灣大廈,CAUSEWAY BAY MANSION,灣仔,2020-02-28
296,駱克道151號,NO.151 LOCKHART ROAD,灣仔,2020-02-28
297,駱克道72-86號熙華大廈B座,"BLOCK B, HAY WAH BUILDING, NO.72-86 LOCKHART ROAD",灣仔,2020-02-28
298,寶之大廈,PO CHI BUILDING,灣仔,2020-02-28
299,寶富大廈,PO FOO BUILDING,灣仔,2020-02-28
300,耀星華庭,SUPERNOVA STAND,灣仔,2020-02-28
301,囍滙2座,"BLOCK 2, THE AVENUE",灣仔,2020-02-28
302,四寶大廈,SZE BO BUILDING,灣仔,2020-02-29
303,吉安街4A號,NO.4A KAT ON STREET,灣仔,2020-02-29
304,成和道14-16號,NO.14-16 SING WOO ROAD,灣仔,2020-02-29
305,旭逸閣,UNIQUE TOWER,灣仔,2020-02-29
306,希雲大廈,HAVEN COURT,灣仔,2020-02-29
307,怡安大廈,YEE ON BUILDING,灣仔,2020-02-29
308,怡豐大廈,YEE FUNG BUILDING,灣仔,2020-02-29
309,昌業大廈,CHEONG IP BUILDING,灣仔,2020-02-29
310,星街9號星域軒1座,"BLOCK 1, STARCREST, NO.9 STAR STREET",灣仔,2020-02-29
311,皇后大道東200號囍滙2期,"BLOCK TOWER 2, THE AVENUE, NO.200 QUEEN'S ROAD EAST",灣仔,2020-02-29
312,美暉大廈,MEI FAI MANSION,灣仔,2020-02-29
313,堅安大廈,KIN ON BUILDING,灣仔,2020-02-29
314,華都樓,WAH TAO BUILDING,灣仔,2020-02-29
315,萬順樓,WHITFIELD MANSION,灣仔,2020-02-29
316,嘉逸軒,LE CACHET,灣仔,2020-02-29
317,聚寶閣,RICH COURT,灣仔,2020-02-29
318,樂天峯,BROADWOOD TWELVE,灣仔,2020-02-29
319,澤盈中心,CORN YAN CENTRE,灣仔,2020-02-29
320,霎東街49號,NO.49 SHARP STREET EAST,灣仔,2020-02-29
321,禮信大廈,LEISHUN COURT,灣仔,2020-02-29
322,灣仔道3號尚翹峰1 座,"BLOCK 1, THE ZENITH, NO.3 WAN CHAI ROAD",灣仔,2020-02-29
323,春園街2號,NO.2 SPRING GARDEN LANE,灣仔,2020-03-01
324,海濱大廈,RIVIERA MANSION,灣仔,2020-03-01
325,基利大廈,KELLY HSE,灣仔,2020-03-01
326,堅拿道西15號永德大廈B座,"BLOCK B, WING TAK MANSION, NO.15 CANAL ROAD WEST",灣仔,2020-03-01
327,港灣道28號灣景中心大廈B座,"BLOCK B, CAUSEWAY CENTRE, NO.28 HARBOUR ROAD",灣仔,2020-03-01
328,港灣道28號灣景中心大廈C座,"BLK C, CAUSEWAY CENTRE, NO.28 HARBOUR ROAD",灣仔,2020-03-01
329,滿峯台,MONTICELLO,灣仔,2020-03-01
330,銀星閣,SILVER STAR COURT,灣仔,2020-03-01
331,銅鑼灣道126號,NO.126 TUNG LO WAN ROAD,灣仔,2020-03-01
332,慧賢軒,BRILLIANT COURT,灣仔,2020-03-01
333,藍塘道79號,NO.79 BLUE POOL ROAD,灣仔,2020-03-01
334,皇后大道東98號,NO.98 QUEEN'S ROAD EAST,灣仔,2020-03-02
335,美城花園大廈,MAYSON GARDEN BUILDING,灣仔,2020-03-02
